Nome,Long,Lat,Pop
SANTA CECILIA DO PAVAO,-50.782865,-23.512896,3253
JUNDIAI DO SUL,-50.249354,-23.437909,3248
BOM SUCESSO DO SUL,-52.831976,-26.074537,3244
SANTA AMELIA,-50.423459,-23.268157,3208
RIO BOM,-51.415365,-23.762098,3162
LIDIANOPOLIS,-51.654151,-24.106766,3155
MATO RICO,-52.146259,-24.707317,3142
PORTO BARREIRO,-52.404787,-25.545186,3133
INAJA,-52.202344,-22.749116,3122
CORUMBATAI DO SUL,-52.124185,-24.097412,3038
FAROL,-52.626215,-24.099095,2995
CAFEARA,-51.715006,-22.788235,2973
ARAPUA,-51.791318,-24.308702,2951
ANGULO,-51.917365,-23.192904,2931
CRUZMALTINA,-51.444247,-23.993328,2892
SULINA,-52.716597,-25.699632,2880
GODOY MOREIRA,-51.924368,-24.192859,2850
NOVO ITACOLOMI,-51.506959,-23.765314,2836
BARRA DO JACARE,-50.187737,-23.120593,2781
ANAHY,-53.133320,-24.647582,2774
PINHAL DE SAO BENTO,-53.483090,-26.032729,2742
FLORIDA,-51.955828,-23.087802,2709
ITAUNA DO SUL,-52.885025,-22.726877,2700
ALTO PARAISO,-53.732893,-23.508131,2630
UNIFLOR,-52.160011,-23.086049,2623
SANTO ANTONIO DO CAIUA,-52.344658,-22.733975,2611
RANCHO ALEGRE D'OESTE,-52.951126,-24.309010,2602
PORTO RICO,-53.267968,-22.778352,2554
BRASILANDIA DO SUL,-53.524042,-24.193846,2521
MANFRINOPOLIS,-53.312583,-26.143777,2442
BOA ESPERANCA DO IGUACU,-53.217160,-25.635873,2437
SAO PEDRO DO PARANA,-53.222937,-22.825129,2265
IGUATU,-53.086005,-24.711262,2251
GUAPOREMA,-52.778244,-23.342984,2239
IRACEMA DO OESTE,-53.358111,-24.429030,2216
MIRADOR,-52.776935,-23.257408,2180
SAO MANOEL DO PARANA,-52.647020,-23.396130,2165
SANTO ANTONIO DO PARAISO,-50.646828,-23.494719,2032
ARIRANHA DO IVAI,-51.587918,-24.383289,2026
MIRASELVA,-51.485707,-22.966093,1786
ESPERANCA NOVA,-53.810495,-23.724655,1633
SANTA INES,-51.902768,-22.638707,1568
NOVA ALIANCA DO IVAI,-52.601923,-23.177456,1560
ALTAMIRA DO PARANA,-52.709807,-24.801000,1429
JARDIM OLINDA,-52.038141,-22.552632,1309
